id,product_id,buyer_id,seller_id,order_status,total_price,delivery_method,meetup_location_id,meetup_time_slot,shipping_address_id,shipping_provider,tracking_number,create_time
100032,3184,949,972,PENDING_PAYMENT,2.0,EXPRESS,,,1900,SF,,2026-08-10 04:35:42
100033,1864,769,306,PENDING_PAYMENT,5.0,EXPRESS,,,1537,SF,,2026-08-08 02:51:42
100034,2555,993,73,PENDING_PAYMENT,3.0,EXPRESS,,,1982,SF,,2026-08-07 14:12:42
100035,2513,836,182,PENDING_PAYMENT,12.0,MEETUP,28,17:00-18:00,,,,2026-08-13 03:42:42
100036,1541,823,7,PENDING_PAYMENT,120.0,MEETUP,13,18:00-19:00,,,,2026-08-16 02:49:42
100037,4921,651,290,PENDING_PAYMENT,25.0,EXPRESS,,,1297,SF,,2026-08-12 01:19:42
100038,493,787,886,PENDING_PAYMENT,5.0,MEETUP,1,18:00-19:00,,,,2026-08-14 04:41:42
100039,2921,625,628,PENDING_PAYMENT,100.0,MEETUP,19,17:00-18:00,,,,2026-08-15 08:25:42
100040,4153,439,376,PENDING_PAYMENT,8.0,EXPRESS,,,895,SF,,2026-08-08 13:19:42
100041,3549,82,16,PENDING_PAYMENT,5.0,MEETUP,1,18:00-19:00,,,,2026-08-13 20:59:42
100042,4183,459,309,PENDING_PAYMENT,10.0,MEETUP,2,12:00-13:00,,,,2026-08-07 17:31:42
100043,1293,293,826,PENDING_PAYMENT,12.0,EXPRESS,,,614,SF,,2026-08-14 16:15:42
100044,1033,893,979,PENDING_PAYMENT,80.0,MEETUP,12,19:00-20:00,,,,2026-08-14 10:37:42
100045,1794,473,249,PENDING_PAYMENT,12.0,EXPRESS,,,961,SF,,2026-08-07 14:09:42
100046,312,435,799,PENDING_PAYMENT,30.0,EXPRESS,,,888,SF,,2026-08-12 06:57:42
100047,3397,903,363,PENDING_PAYMENT,3.0,EXPRESS,,,1800,SF,,2026-08-16 12:27:42
100048,394,451,268,PENDING_PAYMENT,30.0,MEETUP,3,12:00-13:00,,,,2026-08-07 07:10:42
100049,2991,496,457,PENDING_PAYMENT,10.0,EXPRESS,,,1007,SF,,2026-08-08 02:09:42
100050,1058,351,456,PENDING_PAYMENT,50.0,EXPRESS,,,717,SF,,2026-08-11 20:42:42
100051,3760,96,201,PENDING_PAYMENT,50.0,MEETUP,16,12:00-13:00,,,,2026-08-08 07:01:42
100052,3306,633,164,PENDING_PAYMENT,1.0,MEETUP,23,12:00-13:00,,,,2026-08-09 01:50:42
100053,4107,574,699,PENDING_PAYMENT,12.0,EXPRESS,,,1154,SF,,2026-08-08 16:32:42
100054,4505,604,77,PENDING_PAYMENT,20.0,MEETUP,17,19:00-20:00,,,,2026-08-14 11:17:42
100055,1683,478,833,PENDING_PAYMENT,5.0,EXPRESS,,,969,SF,,2026-08-07 22:26:42
100056,555,589,250,PENDING_PAYMENT,50.0,EXPRESS,,,1176,SF,,2026-08-15 07:01:42
100057,3296,849,835,PENDING_PAYMENT,15.0,MEETUP,25,12:00-13:00,,,,2026-08-16 17:02:42
100058,153,265,843,PENDING_PAYMENT,200.0,EXPRESS,,,552,SF,,2026-08-15 00:07:42
100059,2388,46,152,PENDING_PAYMENT,50.0,EXPRESS,,,101,SF,,2026-08-11 05:22:42
100060,2779,823,344,PENDING_PAYMENT,20.0,MEETUP,26,12:00-13:00,,,,2026-08-13 03:57:42
100061,34,911,349,PENDING_PAYMENT,100.0,EXPRESS,,,1815,SF,,2026-08-12 05:01:42
100062,1682,604,371,PENDING_PAYMENT,20.0,MEETUP,2,17:00-18:00,,,,2026-08-08 22:37:42
100063,1421,223,964,PENDING_PAYMENT,8.0,EXPRESS,,,466,SF,,2026-08-13 04:14:42
100064,3470,142,3,PENDING_PAYMENT,80.0,MEETUP,4,18:00-19:00,,,,2026-08-09 18:50:42
100065,1193,404,218,PENDING_PAYMENT,120.0,MEETUP,24,18:00-19:00,,,,2026-08-09 20:11:42
100066,1286,640,270,PENDING_PAYMENT,150.0,MEETUP,13,19:00-20:00,,,,2026-08-07 12:58:42
100067,1916,398,317,PENDING_PAYMENT,1.0,MEETUP,2,12:00-13:00,,,,2026-08-13 09:46:42
100068,834,258,805,PENDING_PAYMENT,15.0,EXPRESS,,,536,SF,,2026-08-13 18:46:42
100069,4851,513,314,PENDING_PAYMENT,8.0,EXPRESS,,,1046,SF,,2026-08-08 15:50:42
100070,4514,19,548,PENDING_PAYMENT,80.0,MEETUP,4,19:00-20:00,,,,2026-08-08 01:34:42
100071,1574,374,704,PENDING_PAYMENT,2.0,MEETUP,7,18:00-19:00,,,,2026-08-08 13:12:42
100072,3509,256,959,PENDING_PAYMENT,120.0,EXPRESS,,,532,SF,,2026-08-09 01:57:42
100073,4287,883,519,PENDING_PAYMENT,100.0,MEETUP,10,18:00-19:00,,,,2026-08-07 15:17:42
100074,4266,511,706,PENDING_PAYMENT,200.0,MEETUP,24,17:00-18:00,,,,2026-08-13 00:48:42
100075,4028,153,598,PENDING_PAYMENT,12.0,MEETUP,25,17:00-18:00,,,,2026-08-08 02:45:42
100076,1844,634,355,PENDING_PAYMENT,10.0,MEETUP,23,19:00-20:00,,,,2026-08-11 09:50:42
100077,1667,903,503,PENDING_PAYMENT,2.0,EXPRESS,,,1799,SF,,2026-08-11 08:37:42
100078,2306,28,234,PENDING_PAYMENT,50.0,EXPRESS,,,59,SF,,2026-08-12 03:35:42
100079,2883,197,168,PENDING_PAYMENT,80.0,MEETUP,10,12:00-13:00,,,,2026-08-13 05:02:42
100080,333,832,754,PENDING_PAYMENT,30.0,EXPRESS,,,1652,SF,,2026-08-13 19:14:42
100081,2453,598,841,PENDING_PAYMENT,3.0,MEETUP,9,12:00-13:00,,,,2026-08-15 20:25:42
100082,804,484,834,PENDING_PAYMENT,100.0,EXPRESS,,,983,SF,,2026-08-07 05:24:42
100083,2919,758,21,PENDING_PAYMENT,120.0,MEETUP,23,19:00-20:00,,,,2026-08-16 18:38:42
100084,2568,769,218,PENDING_PAYMENT,20.0,EXPRESS,,,1537,SF,,2026-08-08 23:37:42
100085,1145,509,792,PENDING_PAYMENT,8.0,EXPRESS,,,1035,SF,,2026-08-09 12:26:42
100086,1701,171,113,PENDING_PAYMENT,30.0,EXPRESS,,,357,SF,,2026-08-07 07:43:42
100087,3695,151,361,PENDING_PAYMENT,12.0,EXPRESS,,,314,SF,,2026-08-12 00:25:42
100088,987,168,355,PENDING_PAYMENT,15.0,MEETUP,13,18:00-19:00,,,,2026-08-15 09:14:42
100089,1984,427,166,PENDING_PAYMENT,20.0,MEETUP,30,12:00-13:00,,,,2026-08-16 00:49:42
100090,1178,355,940,PENDING_PAYMENT,5.0,EXPRESS,,,723,SF,,2026-08-11 18:56:42
100091,419,138,42,PENDING_PAYMENT,12.0,EXPRESS,,,282,SF,,2026-08-08 00:33:42
100092,1934,520,892,PENDING_PAYMENT,5.0,EXPRESS,,,1057,SF,,2026-08-09 21:39:42
100093,288,79,708,PENDING_PAYMENT,25.0,MEETUP,28,19:00-20:00,,,,2026-08-12 01:19:42
100094,3212,854,458,PENDING_PAYMENT,150.0,EXPRESS,,,1695,SF,,2026-08-10 10:58:42
100095,4017,390,980,PENDING_PAYMENT,30.0,MEETUP,9,19:00-20:00,,,,2026-08-15 18:34:42
100096,4682,646,237,PENDING_PAYMENT,8.0,MEETUP,4,12:00-13:00,,,,2026-08-11 21:36:42
100097,3969,624,962,PENDING_PAYMENT,1.0,EXPRESS,,,1241,SF,,2026-08-11 17:04:42
100098,2688,804,553,PENDING_PAYMENT,100.0,MEETUP,11,18:00-19:00,,,,2026-08-07 18:29:42
100099,498,249,162,PENDING_PAYMENT,12.0,EXPRESS,,,515,SF,,2026-08-14 04:55:42
100100,3156,78,953,PENDING_PAYMENT,80.0,MEETUP,22,18:00-19:00,,,,2026-08-16 17:06:42
100101,4909,102,924,PENDING_PAYMENT,120.0,EXPRESS,,,212,SF,,2026-08-06 22:32:42
100102,2005,452,738,PENDING_PAYMENT,5.0,MEETUP,18,12:00-13:00,,,,2026-08-09 03:08:42
100103,2148,7,675,PENDING_PAYMENT,30.0,EXPRESS,,,18,SF,,2026-08-07 04:32:42
100104,1739,77,951,PENDING_PAYMENT,80.0,MEETUP,12,18:00-19:00,,,,2026-08-10 19:51:42
100105,3450,307,649,PENDING_PAYMENT,30.0,MEETUP,24,17:00-18:00,,,,2026-08-07 02:47:42
100106,4257,548,7,PENDING_PAYMENT,60.0,MEETUP,13,19:00-20:00,,,,2026-08-16 17:18:42
100107,3729,259,499,PENDING_PAYMENT,8.0,MEETUP,28,19:00-20:00,,,,2026-08-08 14:06:42
100108,4524,704,539,PENDING_PAYMENT,60.0,EXPRESS,,,1406,SF,,2026-08-11 02:56:42
100109,787,602,788,PENDING_PAYMENT,15.0,EXPRESS,,,1203,SF,,2026-08-13 17:12:42
100110,3598,350,701,PENDING_PAYMENT,200.0,EXPRESS,,,714,SF,,2026-08-08 05:03:42
100111,772,389,149,PENDING_PAYMENT,120.0,EXPRESS,,,787,SF,,2026-08-12 15:08:42
100112,1611,856,806,PENDING_PAYMENT,25.0,MEETUP,2,17:00-18:00,,,,2026-08-14 13:54:42
100113,3341,300,792,PENDING_PAYMENT,30.0,EXPRESS,,,621,SF,,2026-08-16 05:14:42
100114,3508,500,55,PENDING_PAYMENT,150.0,MEETUP,20,17:00-18:00,,,,2026-08-10 16:18:42
100115,2501,731,865,PENDING_PAYMENT,3.0,MEETUP,24,12:00-13:00,,,,2026-08-14 02:11:42
100116,1455,612,148,PENDING_PAYMENT,12.0,EXPRESS,,,1219,SF,,2026-08-07 21:55:42
100117,1448,447,297,PENDING_PAYMENT,80.0,EXPRESS,,,911,SF,,2026-08-14 01:52:42
100118,1892,77,402,PENDING_PAYMENT,150.0,EXPRESS,,,161,SF,,2026-08-14 13:08:42
100119,3530,323,298,PENDING_PAYMENT,1.0,MEETUP,23,19:00-20:00,,,,2026-08-09 13:18:42
100120,1512,354,195,PENDING_PAYMENT,1.0,EXPRESS,,,722,SF,,2026-08-10 11:29:42
100121,4352,110,543,PENDING_PAYMENT,80.0,MEETUP,8,12:00-13:00,,,,2026-08-10 20:41:42
100122,1217,863,448,PENDING_PAYMENT,50.0,EXPRESS,,,1715,SF,,2026-08-10 17:53:42
100123,561,651,363,PENDING_PAYMENT,10.0,MEETUP,18,12:00-13:00,,,,2026-08-14 10:57:42
100124,136,492,301,PENDING_PAYMENT,100.0,MEETUP,17,12:00-13:00,,,,2026-08-14 22:46:42
100125,1364,90,902,PENDING_PAYMENT,3.0,MEETUP,9,17:00-18:00,,,,2026-08-10 07:47:42
100126,780,62,589,PENDING_PAYMENT,10.0,MEETUP,2,19:00-20:00,,,,2026-08-12 08:44:42
100127,386,743,337,PENDING_PAYMENT,100.0,EXPRESS,,,1479,SF,,2026-08-16 17:18:42
100128,4724,82,476,PENDING_PAYMENT,5.0,MEETUP,20,19:00-20:00,,,,2026-08-15 08:23:42
100129,231,523,646,PENDING_PAYMENT,120.0,EXPRESS,,,1067,SF,,2026-08-15 16:11:42
100130,518,858,318,PENDING_PAYMENT,3.0,EXPRESS,,,1705,SF,,2026-08-12 15:45:42
100131,1324,743,223,PENDING_PAYMENT,12.0,EXPRESS,,,1477,SF,,2026-08-15 15:45:42
100132,4127,467,464,PENDING_PAYMENT,2.0,EXPRESS,,,949,SF,,2026-08-08 13:30:42
100133,3830,822,732,PENDING_PAYMENT,50.0,MEETUP,7,12:00-13:00,,,,2026-08-07 03:40:42
100134,4569,9,8,PENDING_PAYMENT,120.0,EXPRESS,,,22,SF,,2026-08-11 23:40:42
100135,4038,934,696,PENDING_PAYMENT,12.0,MEETUP,20,12:00-13:00,,,,2026-08-16 10:32:42
100136,908,311,623,PENDING_PAYMENT,120.0,MEETUP,9,19:00-20:00,,,,2026-08-08 02:05:42
100137,991,807,592,PENDING_PAYMENT,50.0,EXPRESS,,,1606,SF,,2026-08-10 16:53:42
100138,4637,358,110,PENDING_PAYMENT,10.0,MEETUP,26,18:00-19:00,,,,2026-08-07 19:40:42
100139,2780,954,539,PENDING_PAYMENT,30.0,MEETUP,27,17:00-18:00,,,,2026-08-09 07:59:42
100140,1867,984,155,PENDING_PAYMENT,5.0,EXPRESS,,,1968,SF,,2026-08-14 08:56:42
100141,3875,629,676,PENDING_PAYMENT,12.0,MEETUP,12,17:00-18:00,,,,2026-08-12 21:43:42
100142,2523,488,863,PENDING_PAYMENT,120.0,EXPRESS,,,993,SF,,2026-08-07 15:58:42
100143,3966,564,219,PENDING_PAYMENT,150.0,MEETUP,12,19:00-20:00,,,,2026-08-12 22:31:42
100144,2213,864,215,PENDING_PAYMENT,100.0,MEETUP,21,18:00-19:00,,,,2026-08-08 08:23:42
100145,4528,75,231,PENDING_PAYMENT,2.0,MEETUP,18,18:00-19:00,,,,2026-08-11 04:25:42
100146,696,483,386,PENDING_PAYMENT,10.0,MEETUP,15,19:00-20:00,,,,2026-08-11 03:28:42
100147,3551,932,879,PENDING_PAYMENT,80.0,MEETUP,30,19:00-20:00,,,,2026-08-15 17:01:42
100148,3195,106,302,PENDING_PAYMENT,15.0,MEETUP,10,17:00-18:00,,,,2026-08-16 11:54:42
100149,3873,212,326,PENDING_PAYMENT,150.0,EXPRESS,,,445,SF,,2026-08-08 06:22:42
100150,1180,880,408,PENDING_PAYMENT,60.0,MEETUP,11,19:00-20:00,,,,2026-08-08 18:55:42
100151,3826,954,858,PENDING_PAYMENT,100.0,EXPRESS,,,1907,SF,,2026-08-09 23:55:42
100152,509,842,389,PENDING_PAYMENT,2.0,EXPRESS,,,1673,SF,,2026-08-11 20:26:42
100153,2681,323,54,PENDING_PAYMENT,200.0,MEETUP,24,19:00-20:00,,,,2026-08-12 02:49:42
100154,2118,307,452,PENDING_PAYMENT,60.0,EXPRESS,,,634,SF,,2026-08-07 10:38:42
100155,3365,764,367,PENDING_PAYMENT,120.0,MEETUP,13,19:00-20:00,,,,2026-08-14 05:06:42
100156,1775,612,914,PENDING_PAYMENT,5.0,EXPRESS,,,1219,SF,,2026-08-06 20:22:42
100157,881,732,255,PENDING_PAYMENT,20.0,MEETUP,18,17:00-18:00,,,,2026-08-13 09:57:42
100158,2493,973,667,PENDING_PAYMENT,200.0,MEETUP,11,18:00-19:00,,,,2026-08-14 00:08:42
100159,1305,474,153,PENDING_PAYMENT,20.0,EXPRESS,,,962,SF,,2026-08-09 16:43:42
100160,3028,547,389,PENDING_PAYMENT,200.0,EXPRESS,,,1103,SF,,2026-08-10 18:52:42
100161,663,210,746,PENDING_PAYMENT,60.0,MEETUP,4,17:00-18:00,,,,2026-08-09 02:27:42
100162,553,821,968,PENDING_PAYMENT,8.0,EXPRESS,,,1632,SF,,2026-08-07 04:13:42
100163,4297,657,666,PENDING_PAYMENT,50.0,MEETUP,19,17:00-18:00,,,,2026-08-16 00:52:42
100164,3693,975,49,PENDING_PAYMENT,100.0,EXPRESS,,,1953,SF,,2026-08-11 01:36:42
100165,399,836,931,PENDING_PAYMENT,25.0,MEETUP,20,12:00-13:00,,,,2026-08-10 13:15:42
100166,2713,27,310,PENDING_PAYMENT,10.0,EXPRESS,,,56,SF,,2026-08-09 21:30:42
100167,31,343,766,PENDING_PAYMENT,20.0,MEETUP,14,12:00-13:00,,,,2026-08-14 07:08:42
100168,3029,752,556,PENDING_PAYMENT,80.0,MEETUP,28,19:00-20:00,,,,2026-08-13 04:15:42
100169,4577,270,510,PENDING_PAYMENT,60.0,MEETUP,15,12:00-13:00,,,,2026-08-12 15:18:42
100170,220,178,432,PENDING_PAYMENT,25.0,EXPRESS,,,372,SF,,2026-08-09 21:06:42
100171,854,508,753,PENDING_PAYMENT,120.0,EXPRESS,,,1032,SF,,2026-08-13 03:19:42
100172,3608,780,217,PENDING_PAYMENT,3.0,MEETUP,2,12:00-13:00,,,,2026-08-11 11:04:42
100173,1595,779,321,PENDING_PAYMENT,200.0,MEETUP,4,17:00-18:00,,,,2026-08-11 15:01:42
100174,4317,438,173,PENDING_PAYMENT,1.0,EXPRESS,,,894,SF,,2026-08-16 10:22:42
100175,3054,759,391,PENDING_PAYMENT,1.0,EXPRESS,,,1518,SF,,2026-08-14 12:50:42
100176,2036,799,868,PENDING_PAYMENT,50.0,EXPRESS,,,1594,SF,,2026-08-11 20:38:42
100177,4002,124,418,PENDING_PAYMENT,3.0,EXPRESS,,,254,SF,,2026-08-11 17:42:42
100178,3879,102,595,PENDING_PAYMENT,30.0,EXPRESS,,,212,SF,,2026-08-16 03:39:42
100179,4545,528,890,PENDING_PAYMENT,120.0,MEETUP,29,17:00-18:00,,,,2026-08-10 01:46:42
100180,453,84,718,PENDING_PAYMENT,1.0,MEETUP,2,17:00-18:00,,,,2026-08-15 08:04:42
100181,1174,415,503,PENDING_PAYMENT,15.0,MEETUP,2,19:00-20:00,,,,2026-08-09 21:25:42
100182,4691,374,720,PENDING_PAYMENT,60.0,EXPRESS,,,760,SF,,2026-08-09 15:09:42
100183,4142,444,898,PENDING_PAYMENT,2.0,EXPRESS,,,904,SF,,2026-08-11 18:04:42
100184,223,447,411,PENDING_PAYMENT,10.0,EXPRESS,,,909,SF,,2026-08-10 08:05:42
100185,4217,460,327,PENDING_PAYMENT,20.0,EXPRESS,,,939,SF,,2026-08-13 21:42:42
100186,979,648,701,PENDING_PAYMENT,60.0,EXPRESS,,,1290,SF,,2026-08-15 17:59:42
100187,4570,81,387,PENDING_PAYMENT,12.0,EXPRESS,,,169,SF,,2026-08-15 11:34:42
100188,3757,73,458,PENDING_PAYMENT,8.0,MEETUP,19,17:00-18:00,,,,2026-08-10 05:09:42
100189,905,496,568,PENDING_PAYMENT,20.0,EXPRESS,,,1007,SF,,2026-08-08 02:50:42
100190,4308,802,302,PENDING_PAYMENT,30.0,MEETUP,26,19:00-20:00,,,,2026-08-10 18:29:42
100191,555,666,250,PENDING_PAYMENT,50.0,EXPRESS,,,1329,SF,,2026-08-14 07:34:42
100192,454,914,252,PENDING_PAYMENT,15.0,EXPRESS,,,1824,SF,,2026-08-08 10:19:42
100193,1604,625,688,PENDING_PAYMENT,12.0,MEETUP,26,19:00-20:00,,,,2026-08-08 13:02:42
100194,3433,273,82,PENDING_PAYMENT,5.0,MEETUP,26,17:00-18:00,,,,2026-08-11 21:38:42
100195,2514,213,451,PENDING_PAYMENT,15.0,EXPRESS,,,447,SF,,2026-08-14 02:22:42
100196,2744,705,99,PENDING_PAYMENT,3.0,EXPRESS,,,1407,SF,,2026-08-16 02:26:42
100197,3708,111,451,PENDING_PAYMENT,50.0,EXPRESS,,,228,SF,,2026-08-10 06:09:42
100198,2024,321,92,PENDING_PAYMENT,3.0,EXPRESS,,,659,SF,,2026-08-12 19:23:42
100199,562,552,320,PENDING_PAYMENT,80.0,EXPRESS,,,1112,SF,,2026-08-14 17:55:42
100200,3832,985,616,PENDING_PAYMENT,5.0,MEETUP,18,19:00-20:00,,,,2026-08-11 09:41:42
100201,3645,4,368,PENDING_PAYMENT,15.0,MEETUP,4,17:00-18:00,,,,2026-08-09 23:18:42
100202,1465,538,416,PENDING_PAYMENT,150.0,EXPRESS,,,1090,SF,,2026-08-14 10:19:42
100203,3646,418,844,PENDING_PAYMENT,12.0,MEETUP,20,17:00-18:00,,,,2026-08-12 01:24:42
100204,3886,660,519,PENDING_PAYMENT,60.0,EXPRESS,,,1318,SF,,2026-08-15 11:49:42
100205,183,731,177,PENDING_PAYMENT,10.0,EXPRESS,,,1449,SF,,2026-08-12 07:43:42
100206,650,941,388,PENDING_PAYMENT,8.0,MEETUP,30,18:00-19:00,,,,2026-08-09 15:21:42
100207,1142,791,824,PENDING_PAYMENT,80.0,EXPRESS,,,1576,SF,,2026-08-14 13:00:42
100208,3736,120,919,PENDING_PAYMENT,1.0,MEETUP,13,18:00-19:00,,,,2026-08-10 05:02:42
100209,3574,366,730,PENDING_PAYMENT,100.0,EXPRESS,,,746,SF,,2026-08-08 10:53:42
100210,2323,189,165,PENDING_PAYMENT,25.0,MEETUP,21,12:00-13:00,,,,2026-08-13 04:38:42
100211,4777,964,256,PENDING_PAYMENT,12.0,EXPRESS,,,1931,SF,,2026-08-10 09:32:42
100212,3400,508,862,PENDING_PAYMENT,2.0,MEETUP,6,12:00-13:00,,,,2026-08-14 09:17:42
100213,4525,747,281,PENDING_PAYMENT,120.0,EXPRESS,,,1488,SF,,2026-08-12 16:35:42
100214,2882,486,969,PENDING_PAYMENT,60.0,MEETUP,4,17:00-18:00,,,,2026-08-14 20:16:42
100215,681,254,289,PENDING_PAYMENT,5.0,EXPRESS,,,526,SF,,2026-08-06 19:59:42
100216,392,173,543,PENDING_PAYMENT,120.0,MEETUP,19,19:00-20:00,,,,2026-08-10 03:09:42
100217,1446,183,542,PENDING_PAYMENT,150.0,MEETUP,16,12:00-13:00,,,,2026-08-15 12:32:42
100218,228,834,115,PENDING_PAYMENT,50.0,MEETUP,7,19:00-20:00,,,,2026-08-10 02:07:42
100219,4836,295,529,PENDING_PAYMENT,5.0,EXPRESS,,,616,SF,,2026-08-09 01:42:42
100220,3493,488,11,PENDING_PAYMENT,30.0,EXPRESS,,,994,SF,,2026-08-12 03:43:42
100221,1387,981,983,PENDING_PAYMENT,50.0,EXPRESS,,,1963,SF,,2026-08-09 14:56:42
100222,4689,930,593,PENDING_PAYMENT,25.0,EXPRESS,,,1860,SF,,2026-08-12 00:07:42
100223,3565,554,51,PENDING_PAYMENT,50.0,EXPRESS,,,1118,SF,,2026-08-14 04:12:42
100224,3293,44,945,PENDING_PAYMENT,25.0,EXPRESS,,,93,SF,,2026-08-14 01:50:42
100225,3918,512,170,PENDING_PAYMENT,12.0,MEETUP,16,12:00-13:00,,,,2026-08-10 00:18:42
100226,2349,279,722,PENDING_PAYMENT,5.0,EXPRESS,,,582,SF,,2026-08-08 12:18:42
100227,3101,219,407,PENDING_PAYMENT,150.0,MEETUP,9,19:00-20:00,,,,2026-08-16 18:36:42
100228,1373,599,414,PENDING_PAYMENT,60.0,EXPRESS,,,1197,SF,,2026-08-12 03:48:42
100229,1354,51,965,PENDING_PAYMENT,2.0,MEETUP,15,17:00-18:00,,,,2026-08-15 06:20:42
100230,350,550,330,PENDING_PAYMENT,200.0,MEETUP,13,17:00-18:00,,,,2026-08-12 14:40:42
100231,4918,486,414,PENDING_PAYMENT,15.0,EXPRESS,,,988,SF,,2026-08-09 08:43:42
100232,1042,963,960,PENDING_PAYMENT,2.0,MEETUP,19,12:00-13:00,,,,2026-08-08 03:11:42
100233,2790,622,362,PENDING_PAYMENT,200.0,MEETUP,12,18:00-19:00,,,,2026-08-15 00:07:42
100234,2539,526,443,PENDING_PAYMENT,1.0,MEETUP,9,19:00-20:00,,,,2026-08-11 20:57:42
100235,945,69,501,PENDING_PAYMENT,3.0,MEETUP,27,17:00-18:00,,,,2026-08-12 06:27:42
100236,375,720,337,PENDING_PAYMENT,60.0,MEETUP,14,12:00-13:00,,,,2026-08-09 23:42:42
100237,4423,813,905,PENDING_PAYMENT,50.0,EXPRESS,,,1616,SF,,2026-08-13 02:51:42
100238,241,779,545,PENDING_PAYMENT,3.0,EXPRESS,,,1552,SF,,2026-08-09 17:56:42
100239,3599,173,47,PENDING_PAYMENT,80.0,MEETUP,18,18:00-19:00,,,,2026-08-16 01:47:42
100240,1122,403,63,PENDING_PAYMENT,30.0,MEETUP,13,17:00-18:00,,,,2026-08-12 17:34:42
100241,2310,400,864,PENDING_PAYMENT,60.0,EXPRESS,,,809,SF,,2026-08-07 18:07:42
100242,917,488,601,PENDING_PAYMENT,120.0,EXPRESS,,,993,SF,,2026-08-12 17:11:42
100243,65,74,7,PENDING_PAYMENT,2.0,EXPRESS,,,157,SF,,2026-08-11 18:37:42
100244,4851,682,314,PENDING_PAYMENT,8.0,MEETUP,11,19:00-20:00,,,,2026-08-08 15:37:42
100245,767,155,415,PENDING_PAYMENT,100.0,EXPRESS,,,322,SF,,2026-08-16 16:02:42
100246,2956,246,640,PENDING_PAYMENT,80.0,MEETUP,29,19:00-20:00,,,,2026-08-07 14:13:42
100247,4415,245,550,PENDING_PAYMENT,8.0,MEETUP,20,12:00-13:00,,,,2026-08-14 11:23:42
